Player,Total,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Truck Robinson,0.018,,,,,,,,,,,,,,,,,,,,,0.001,,0.008,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Smith,0.001,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Walton,0.521,,,,,,,,,,,,,,,,,,,,,0.001,0.117,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Westphal,0.014,,,,,,,,,,,,,,,,,,,,,0.001,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Erving,1.406,,,,,,,,,,,,,,,,,,,,,,0.028,0.004,,0.143,0.658,0.294,0.149,0.129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses Malone,2.855,,,,,,,,,,,,,,,,,,,,,,0.024,,0.502,0.005,0.261,0.735,0.96,0.046,0.279,0.027,0.012,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Thompson,0.153,,,,,,,,,,,,,,,,,,,,,,0.02,0.12,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Lucas,0.041,,,,,,,,,,,,,,,,,,,,,,0.016,0.013,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artis Gilmore,0.066,,,,,,,,,,,,,,,,,,,,,,0.008,0.008,,,0.006,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Gervin,0.904,,,,,,,,,,,,,,,,,,,,,,0.004,0.338,0.157,0.086,0.12,0.159,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Davis,0.03,,,,,,,,,,,,,,,,,,,,,,,0.017,0.009,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marques Johnson,0.117,,,,,,,,,,,,,,,,,,,,,,,0.004,,,0.106,0.004,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Webster,0.004,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World B. Free,0.026,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,0.001,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Sikma,0.103,,,,,,,,,,,,,,,,,,,,,,,,0.018,,0.016,0.048,0.017,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Ford,0.035,,,,,,,,,,,,,,,,,,,,,,,,0.013,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Bird,5.611,,,,,,,,,,,,,,,,,,,,,,,,,0.068,0.613,0.588,0.485,0.858,0.978,0.981,0.347,0.659,,0.005,0.026,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Johnson,0.083,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.072,0.001,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Roundfield,0.032,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,0.02,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Williams,0.178,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.167,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Parish,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.19,,,,,0.004,,0.005,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Johnson,5.104,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.097,0.406,0.401,0.338,0.263,0.94,0.635,0.782,0.691,0.518,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,
Adrian Dantley,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.01,,0.116,,0.003,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard King,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.014,0.005,0.491,0.09,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Ransey,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Birdsong,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micheal Ray Richardson,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Theus,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norm Nixon,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Cooper,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Johnson,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Jones,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Mitchell,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Silas,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Buckner,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell Jones,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidney Moncreif,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.301,0.092,0.083,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Tripucka,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex English,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,0.015,0.071,0.003,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Williams,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Issel,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Thomas,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.005,0.151,0.081,0.036,0.022,0.004,0.001,0.001,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
